MODEL	MAINEFFS	SIZE	LOG-LIKELIHOOD
2534	-1;893;1136;1308;2030;2232;3407;3921;5133;5373;5500;893 5500;3407 3921	13	0
2535	-1;893;1126;1308;2030;2232;3407;3921;5133;5373;5500;893 5500;3407 3921	13	0
2536	-1;893;1126;1308;2030;2232;2246;3407;3921;5133;5373;5500;893 5500;3407 3921	14	0
2537	-1;893;1126;1308;2030;2232;2425;3407;3921;5133;5373;5500;893 5500;3407 3921	14	0
2538	-1;893;1126;1308;2232;2425;3407;3921;5133;5373;5500;893 5500;3407 3921	13	0
2539	-1;893;1308;2232;2425;3407;3921;5133;5373;5500;893 5500;3407 3921	12	0
2540	-1;893;1308;2232;2425;3407;3921;3961;5133;5373;5500;893 5500;3407 3921	13	0
2541	-1;893;1308;2232;2425;3407;3921;3961;5133;5500;6299;893 5500;3407 3921	13	0
2542	-1;893;1308;2232;2425;3407;3921;3961;5133;5500;6299;6723;893 5500;3407 3921	14	0
2543	-1;893;1786;2232;2425;3407;3921;3961;5133;5500;6299;6723;893 5500;3407 3921	14	0
2544	-1;893;1174;1786;2232;2425;3407;3921;3961;5500;6299;6723;893 5500;3407 3921	14	0
2545	-1;893;1174;1786;2232;2425;3407;3921;3961;5500;6299;6723;3407 3921	13	0
2546	-1;893;1174;1233;1786;2232;2425;3407;3921;3961;5500;6299;3407 3921	13	0
2547	-1;893;1174;1233;1786;2208;2232;2425;3407;3921;3961;5500;6299;3407 3921	14	0
2548	-1;893;1233;1786;2208;2232;2425;3407;3921;3961;5500;6299;3407 3921	13	0
2549	-1;893;1233;1786;2208;2232;2425;3407;3921;3961;5500;5794;6299;3407 3921	14	0
2550	-1;893;1233;1786;2208;2232;2425;3407;3921;3961;5500;5794;6299	13	0
2551	-1;893;1233;1786;2208;2232;2425;3407;3921;3961;5500;6299	12	0
2552	-1;893;1233;1786;2208;2232;2425;3407;3921;3961;4065;5500;6299	13	0
2553	-1;893;1233;1786;2208;2232;2425;3407;3961;4065;5500;6299	12	0
2554	-1;893;1233;1786;2208;2232;2361;2425;3407;3961;4065;5500;6299	13	0
2555	-1;893;971;1233;1786;2208;2232;2361;3407;3961;4065;5500;6299	13	0
2556	-1;893;971;1233;1786;2040;2208;2232;2361;3407;3961;4065;6299	13	0
2557	-1;893;971;1233;1502;1786;2040;2208;2232;2361;3407;3961;4065	13	0
2558	-1;472;893;971;1233;1502;1786;2040;2208;2232;2361;3407;4065	13	0
2559	-1;472;893;971;1233;1502;1786;2040;2208;2232;3407;3723;4065	13	0
2560	-1;472;893;971;1233;1502;1786;2040;2208;3407;3723;3784;4065	13	0
2561	-1;472;893;971;1233;1297;1502;1786;2040;2208;3407;3784;4065	13	0
2562	-1;472;734;893;971;1297;1502;1786;2040;2208;3407;3784;4065	13	0
2563	-1;472;734;893;971;1297;1502;1786;2040;2208;2483;3407;3784;4065	14	0
2564	-1;472;734;893;971;1297;1502;1786;2040;2208;3407;3784;4065	13	0
2565	-1;472;893;971;1297;1502;1786;2040;2208;3130;3407;3784;4065	13	0
2566	-1;472;893;971;1297;1502;1786;2040;2208;3130;3407;3784;4312	13	0
2567	-1;472;893;971;1297;1502;1786;2040;2208;3130;3407;4312;5006	13	0
2568	-1;472;893;971;1297;1502;2040;2208;3130;3407;4312;5006	12	0
2569	-1;472;893;971;1297;1502;2040;2208;2526;3130;3407;4312;5006	13	0
2570	-1;472;893;971;1297;1502;2040;2208;2526;3407;4312;5006;6651	13	0
2571	-1;472;893;971;1297;1502;2040;2208;2526;3407;4312;4906;6651	13	0
2572	-1;472;893;971;1297;1502;2040;2208;2526;3407;4312;6651	12	0
2573	-1;472;893;971;1297;1502;2040;2208;2526;3407;4312;6651	12	0
2574	-1;472;893;971;1297;1502;2040;2526;3407;4312;6651	11	0
2575	-1;472;600;893;971;1297;1502;2040;2526;3407;6651	11	0
2576	-1;137;472;600;893;1297;1502;2040;2526;3407;6651	11	0
2577	-1;137;472;600;893;1502;2040;2128;2526;3407;6651	11	0
2578	-1;137;472;600;893;1502;2040;2128;2526;3407;3655;6651	12	0
2579	-1;137;472;600;1502;2040;2128;2526;3407;3655;6651	11	0
2580	-1;137;472;600;2040;2128;2526;3407;3655;5997;6651	11	0
2581	-1;137;472;600;2040;2128;2526;3407;3655;3760;5997;6651	12	0
2582	-1;137;472;600;2040;2128;2526;3655;3760;5495;5997;6651	12	0
2583	-1;137;472;600;2040;2128;2526;3655;3760;3865;5495;5997;6651	13	0
2584	-1;137;472;600;2040;2128;2526;3655;3865;5495;5997;6651	12	0
2585	-1;137;472;600;2040;2057;2128;2526;3655;3865;5495;5997;6651	13	0
2586	-1;137;472;600;2040;2057;2128;3655;3865;5495;5997;6651;7191	13	0
2587	-1;137;472;600;2040;2128;3655;3865;5495;5997;6651;7191	12	0
2588	-1;137;600;2040;2128;3655;3865;5495;5944;5997;6651;7191	12	0
2589	-1;137;600;2040;2128;3655;3865;5495;5944;6651;7191;7378	12	0
2590	-1;600;2040;2128;3655;3865;5495;5944;6568;6651;7191;7378	12	0
2591	-1;2040;2128;3655;3865;5495;5944;6288;6568;6651;7191;7378	12	0
2592	-1;2040;3655;3865;5401;5495;5944;6288;6568;6651;7191;7378	12	0
2593	-1;2040;3209;3655;3865;5401;5495;6288;6568;6651;7191;7378	12	0
2594	-1;2040;3655;3865;5401;5495;6288;6568;6651;7191;7378	11	0
2595	-1;2040;3655;3865;5401;5546;6288;6568;6651;7191;7378	11	0
2596	-1;399;2040;3655;3865;5546;6288;6568;6651;7191;7378	11	0
2597	-1;399;2040;3655;5546;6288;6568;6651;7191;7378	10	0
2598	-1;1370;2040;3655;5546;6288;6568;6651;7191;7378	10	0
2599	-1;2040;3655;5546;6288;6568;6651;7191;7378	9	0
2600	-1;2040;3655;5546;5937;6288;6568;7191;7378	9	0
2601	-1;2040;5313;5546;5937;6288;6568;7191;7378	9	0
2602	-1;2040;5313;5334;5546;6288;6568;7191;7378	9	0
2603	-1;2040;5313;5334;5546;6288;6568;7191;7378	9	0
2604	-1;2040;5313;5334;6288;6568;7191;7378	8	0
2605	-1;2040;4423;5334;6288;6568;7191;7378	8	0
2606	-1;2040;4423;4742;5334;6288;6568;7191;7378	9	0
2607	-1;2040;4423;4742;5334;6568;7191;7378	8	0
2608	-1;2040;3797;4423;5334;6568;7191;7378	8	0
2609	-1;275;2040;3797;4423;5334;6568;7191;7378	9	0
2610	-1;275;2040;3797;3864;4423;5334;6568;7378	9	0
2611	-1;275;2040;3864;4423;5334;6568;7378	8	0
2612	-1;275;2040;2608;3864;4423;5334;6568;7378	9	0
2613	-1;275;2608;3864;4423;5334;6568;7378	8	0
2614	-1;275;3864;4423;5334;6568;7378	7	0
2615	-1;275;3864;4423;5334;6568;7378;275 7378	8	0
2616	-1;275;3864;4423;4964;6568;7378;275 7378	8	0
2617	-1;275;1808;3864;4423;4964;6568;7378	8	0
2618	-1;275;1808;3864;4423;4964;7378	7	0
2619	-1;275;437;1808;3864;4423;4964;7378	8	0
2620	-1;275;437;1808;4423;4964;7378	7	0
2621	-1;275;1808;4423;4964;7378	6	0
2622	-1;275;1808;2839;4423;7378	6	0
2623	-1;275;320;1808;2839;4423;7378	7	0
2624	-1;275;320;1808;2839;4423;7378;1808 4423	8	0
2625	-1;275;320;1808;2839;3809;4423;7378;1808 4423	9	0
2626	-1;275;320;1808;2839;3809;4423;7378;1808 4423	9	0
2627	-1;275;320;907;1808;2839;3809;4423;7378;907 4423;1808 4423	11	0
2628	-1;275;320;907;1808;2839;2992;3809;4423;7378;907 4423;1808 4423	12	0
2629	-1;275;320;907;1808;2839;3809;4423;5722;7378;907 4423;1808 4423	12	0
2630	-1;275;320;907;1808;2839;3809;4423;5722;7378;907 4423;1808 4423	12	0
2631	-1;275;320;907;1808;2839;3809;4423;7378;907 4423;1808 4423	11	0
2632	-1;275;320;907;1808;2839;4423;7378;907 4423;1808 4423	10	0
2633	-1;275;320;907;1808;2839;3258;4423;7378;907 4423;1808 4423	11	0
2634	-1;275;320;907;1808;2839;3258;4423;907 4423;1808 4423	10	0
2635	-1;275;320;907;1808;3258;4423;7326;907 4423;1808 4423	10	0
2636	-1;275;320;907;1808;3258;4423;5479;7326;907 4423;1808 4423	11	0
2637	-1;275;320;907;1808;3258;4423;5479;7326;907 4423	10	0
2638	-1;275;320;907;1808;3258;4423;7326;907 4423	9	0
2639	-1;275;320;907;1808;3258;4404;4423;907 4423	9	0
2640	-1;320;907;1808;3258;4404;4423;5364;907 4423	9	0
2641	-1;907;1808;3258;4404;4423;5364;907 4423	8	0
2642	-1;907;1808;3258;4404;4423;5364	7	0
2643	-1;907;1312;1808;3258;4423;5364	7	0
2644	-1;907;1312;2347;3258;4423;5364	7	0
2645	-1;1312;2347;3258;4423;5364;7264	7	0
2646	-1;1312;2347;3258;4423;5364;6056;7264	8	0
2647	-1;1312;2347;3258;4423;6056;7264	7	0
2648	-1;1312;2347;3258;4423;5621;7264	7	0
2649	-1;1312;2058;2347;4423;5621;7264	7	0
2650	-1;1757;2058;2347;4423;5621;7264	7	0
2651	-1;1757;2058;2347;4423;5621;7264	7	0
2652	-1;1757;2058;2347;4423;7264	6	0
2653	-1;1757;2058;2347;5677;7264	6	0
2654	-1;1757;2058;2347;2353;7264	6	0
2655	-1;1757;2058;2347;2353;4061;7264	7	0
2656	-1;1757;2058;2342;2347;2353;4061	7	0
2657	-1;1430;2058;2342;2347;2353;4061	7	0
2658	-1;1430;2058;2342;2347;2353;4061;4580	8	0
2659	-1;2058;2342;2347;2353;4061;4580;5889	8	0
2660	-1;2058;2342;2347;2353;4061;4580	7	0
2661	-1;2058;2342;2347;2353;4061;4580	7	0
2662	-1;2058;2342;2347;2353;3204;4061;4580	8	0
2663	-1;2058;2342;2347;2353;3204;4061;4345	8	0
2664	-1;2342;2347;2353;3204;4061;4345;5634	8	0
2665	-1;2347;2353;3204;4061;4345;5634	7	0
2666	-1;2347;2353;4061;4345;4897;5634	7	0
2667	-1;1416;2347;2353;4061;4897;5634	7	0
2668	-1;1029;1416;2347;2353;4061;5634	7	0
2669	-1;1029;1416;2347;2353;4061;5634	7	0
2670	-1;1416;2347;2353;3570;4061;5634	7	0
2671	-1;1416;2347;2353;3570;4061;5394;5634	8	0
2672	-1;2347;2353;3570;4061;5394;5634	7	0
2673	-1;2347;2353;3570;4061;5394;5634;5394 5634	8	0
2674	-1;2347;3570;4061;5394;5634;5394 5634	7	0
2675	-1;1702;2347;3570;4061;5394;5634;5394 5634	8	0
2676	-1;1702;2347;3570;4061;4840;5394;5634;5394 5634	9	0
2677	-1;1702;2347;3570;4061;4840;5394;5634;7106	9	0
2678	-1;436;1702;2347;3570;4061;4840;5634;7106	9	0
2679	-1;436;1702;2347;3570;4061;4840;7106	8	0
2680	-1;436;1702;2347;3570;4061;4840;4924;7106	9	0
2681	-1;436;2347;3570;4061;4840;4924;7106	8	0
2682	-1;436;2347;2882;3570;4061;4924;7106	8	0
2683	-1;436;826;2347;2882;3570;4061;4924	8	0
2684	-1;436;826;2347;2882;3570;4924	7	0
2685	-1;436;826;2347;2349;2882;3570;4924	8	0
2686	-1;436;826;2347;2882;3570;4924;7208	8	0
2687	-1;212;436;826;2882;3570;4924;7208	8	0
2688	-1;212;436;826;2882;3570;4924;7208	8	0
2689	-1;212;436;826;1150;2882;4924;7208	8	0
2690	-1;212;826;1150;2882;4924;5329;7208	8	0
2691	-1;212;826;1150;2882;4924;5023;5329;7208	9	0
2692	-1;212;826;1150;2882;3741;4924;5023;5329;7208	10	0
2693	-1;826;1150;2882;3741;4924;5023;5329;7208	9	0
2694	-1;826;1150;2882;3477;3741;4924;5023;5329;7208	10	0
2695	-1;826;1150;2882;3477;3624;3741;4924;5023;5329;7208	11	0
2696	-1;826;890;1150;2882;3477;3624;3741;4924;5023;5329	11	0
2697	-1;826;890;1150;2650;2882;3624;3741;4924;5023;5329	11	0
2698	-1;826;1150;2650;2882;3624;3741;4924;5023;5329	10	0
2699	-1;826;2650;2882;3624;3741;4924;5023;5329	9	0
2700	-1;826;2650;3624;3741;4924;5023;5329	8	0
2701	-1;826;2650;3624;3741;4099;4924;5023	8	0
2702	-1;826;2650;3624;4099;4924;5023;7230	8	0
2703	-1;210;826;2650;3624;4924;5023;7230	8	0
2704	-1;210;826;2650;3406;3624;5023;7230	8	0
2705	-1;210;826;3406;3624;5023;7230	7	0
2706	-1;210;826;3624;4218;5023;7230	7	0
2707	-1;210;826;1913;3624;4218;5023;7230	8	0
2708	-1;210;1913;3285;3624;4218;5023;7230	8	0
2709	-1;210;1913;3285;4218;5023;6317;7230	8	0
2710	-1;210;1913;3285;4218;5023;6317;6997	8	0
2711	-1;210;1913;3958;4218;5023;6317;6997	8	0
2712	-1;210;1913;2030;3958;4218;5023;6317	8	0
2713	-1;1913;2030;3430;3958;4218;5023;6317	8	0
2714	-1;1913;2030;2553;3430;3958;4218;5023;6317	9	0
2715	-1;1913;2030;2553;2745;3430;3958;4218;5023;6317	10	0
2716	-1;1913;2030;2745;3160;3430;3958;4218;5023;6317	10	0
2717	-1;1913;2030;2745;3160;3430;3958;4218;4352;5023;6317	11	0
2718	-1;1913;2030;3160;3430;3958;4218;4352;5023;6317;6751	11	0
2719	-1;371;1913;2030;3160;3430;3958;4218;4352;5023;6317	11	0
2720	-1;371;1913;3160;3430;3958;4218;4352;5023;6317	10	0
2721	-1;371;1913;3160;3430;3958;4218;4352;5023;6317	10	0
2722	-1;371;1913;3160;3430;3958;4218;4352;4640;5023;6317	11	0
2723	-1;371;1913;3160;3430;3958;4352;4640;5023;6317	10	0
2724	-1;371;1913;3160;3430;3958;4352;4640;5023	9	0
2725	-1;1913;3160;3430;3958;4352;4427;4640;5023	9	0
2726	-1;1913;1989;3160;3430;3958;4352;4427;4640;5023	10	0
2727	-1;1183;1913;1989;3160;3430;3958;4352;4427;4640;5023	11	0
2728	-1;1183;1913;1989;2329;3160;3430;3958;4352;4427;4640;5023	12	0
2729	-1;98;1183;1913;1989;2329;3160;3430;3958;4352;4427;4640;5023	13	0
2730	-1;98;1183;1913;1989;2329;3160;3430;3766;3958;4352;4427;4640;5023	14	0
2731	-1;98;1183;1913;1989;2329;3160;3430;3766;3958;4352;4427;4640	13	0
2732	-1;98;1183;1913;2329;3160;3430;3766;3958;4352;4427;4640	12	0
2733	-1;98;692;1913;2329;3160;3430;3766;3958;4352;4427;4640	12	0
2734	-1;98;692;1913;2329;2871;3160;3430;3766;3958;4352;4427;4640	13	0
2735	-1;98;692;1913;2329;2871;3160;3430;3620;3766;3958;4427;4640	13	0
2736	-1;98;692;1749;1913;2871;3160;3430;3620;3766;3958;4427;4640	13	0
2737	-1;98;692;1913;2871;3160;3430;3620;3766;3958;4427;4640	12	0
2738	-1;692;1913;2871;3160;3430;3543;3620;3766;3958;4427;4640	12	0
2739	-1;193;692;1913;2871;3160;3430;3543;3620;3958;4427;4640	12	0
2740	-1;193;692;2871;3160;3430;3543;3620;3958;4427;4640;6735	12	0
2741	-1;193;692;2871;3160;3430;3543;3620;3958;4427;4640	11	0
2742	-1;193;692;1154;2871;3160;3430;3620;3958;4427;4640	11	0
2743	-1;193;692;1154;2871;3160;3430;3620;3958;4427;4640;7110	12	0
2744	-1;193;692;1154;2871;3160;3430;3620;3958;4427;4640;7110	12	0
2745	-1;193;692;1154;2871;3160;3430;3620;3958;4640;7110	11	0
2746	-1;193;692;1154;2871;3160;3430;3620;3958;4640	10	0
2747	-1;193;692;1154;2583;2871;3160;3430;3620;3958	10	0
2748	-1;193;692;1154;2583;2871;3160;3430;3958;5649	10	0
2749	-1;193;692;1154;2583;2871;3160;3958;5649	9	0
2750	-1;193;1154;2583;2871;3160;3958;5649	8	0
2751	-1;193;1154;2583;2871;3383;3958;5649	8	0
2752	-1;193;1154;2370;2583;2871;3383;3958	8	0
2753	-1;193;1154;2370;2871;3383;3958	7	0
2754	-1;193;1154;2370;3383;3958	6	0
2755	-1;193;1154;2370;3383;3958	6	0
2756	-1;193;359;1154;2370;3958	6	0
2757	-1;359;1154;2370;3958;7183	6	0
2758	-1;359;1104;1154;2370;3958;7183	7	0
2759	-1;359;1104;2370;3958;7183	6	0
2760	-1;359;2370;2968;3958;7183	6	0
2761	-1;359;563;2370;2968;3958	6	0
2762	-1;563;2370;2968;3958	5	0
2763	-1;2370;2968;3958;4533	5	0
2764	-1;2370;2968;4533;5284	5	0
2765	-1;551;2370;2968;4533;5284	6	0
2766	-1;1756;2370;2968;4533;5284	6	0
2767	-1;1756;2370;2968;5284	5	0
2768	-1;1756;2370;2968	4	0
2769	-1;1756;2370;3083	4	0
2770	-1;1756;2370;3083;5855	5	0
2771	-1;670;1756;2370;5855	5	0
2772	-1;670;1756;5855	4	0
2773	-1;670;1756;3180	4	0
2774	-1;670;1756;3180;4156	5	0
2775	-1;670;1756;3180;4156;5230	6	0
2776	-1;670;1756;3180;4156;5230;5403	7	0
2777	-1;670;1756;1882;3180;4156;5230	7	0
2778	-1;670;1756;1882;4156;5230	6	0
2779	-1;670;1882;4156;5230;7049	6	0
2780	-1;670;1882;4156;5230;7049	6	0
2781	-1;670;4156;5230;5232;7049	6	0
2782	-1;670;4156;5230;5232;6065;7049	7	0
2783	-1;670;763;4156;5230;5232;6065;7049	8	0
2784	-1;670;763;4156;5230;6065;7049	7	0
2785	-1;763;4156;5230;6065;7049	6	0
2786	-1;763;2473;4156;5230;6065;7049	7	0
2787	-1;763;2473;2819;5230;6065;7049	7	0
2788	-1;763;2819;4882;5230;6065;7049	7	0
2789	-1;763;785;2819;4882;5230;6065;7049	8	0
2790	-1;763;785;2819;3106;4882;5230;6065	8	0
2791	-1;763;785;1158;2819;3106;5230;6065	8	0
2792	-1;785;1158;2819;3106;3294;5230;6065	8	0
2793	-1;785;1158;3106;3294;5230;6065	7	0
2794	-1;37;785;1158;3106;3294;5230;6065	8	0
2795	-1;37;785;1158;2515;3106;5230;6065	8	0
2796	-1;37;785;1158;2515;3106;4921;5230;6065	9	0
2797	-1;37;785;1158;2515;3106;4921;5230;6065;1158 6065	10	0
2798	-1;37;785;1158;2904;3106;4921;5230;6065;1158 6065	10	0
2799	-1;37;404;785;1158;2904;4921;5230;6065;1158 6065	10	0
2800	-1;37;404;785;1158;2904;4921;5230;6065;6999;1158 6065	11	0
2801	-1;37;404;785;1158;2904;4921;6065;6999;1158 6065	10	0
2802	-1;37;404;749;785;1158;2904;4921;6065;6999;1158 6065	11	0
2803	-1;404;749;785;1158;2904;4921;6065;6999;1158 6065	10	0
2804	-1;404;749;785;1158;2904;3977;4921;6065;6999;1158 6065	11	0
2805	-1;404;749;785;1158;2904;3977;4854;4921;6065;6999;1158 6065	12	0
2806	-1;404;749;785;1158;2904;4854;4921;6065;6999;1158 6065	11	0
2807	-1;404;749;1158;2904;4854;4921;6065;6999;7119;1158 6065	11	0
2808	-1;135;404;749;1158;2904;4854;4921;6065;6999;1158 6065	11	0
2809	-1;135;404;1158;2112;2904;4854;4921;6065;6999;1158 6065	11	0
2810	-1;135;404;1158;1787;2112;2904;4921;6065;6999;1158 6065	11	0
2811	-1;135;404;1158;1787;2627;2904;4921;6065;6999;1158 6065	11	0
2812	-1;135;404;1158;1787;2627;2904;3856;4921;6065;6999;1158 6065	12	0
2813	-1;135;404;1158;1787;2535;2904;3856;4921;6065;6999;1158 6065	12	0
2814	-1;135;404;1158;1787;2535;2904;3856;4952;6065;6999;1158 6065	12	0
2815	-1;135;404;1158;1787;2904;3856;4952;6065;6999;1158 6065	11	0
2816	-1;135;404;1158;1787;2328;2904;3856;4952;6065;1158 6065	11	0
2817	-1;135;404;1158;1787;2328;2904;3856;4952;6065;1158 6065	11	0
2818	-1;135;404;1158;1787;2328;2904;3856;4952;6065;1158 6065	11	0
2819	-1;135;404;1158;1787;2328;2904;3856;4952;6065;1158 6065	11	0
2820	-1;135;404;1158;1787;2328;2904;3856;4952;6065;6171;1158 6065	12	0
2821	-1;135;404;1158;1787;2328;2904;3856;6065;6171;6368;1158 6065	12	0
2822	-1;404;1158;1787;2328;2904;3856;5124;6065;6171;6368;1158 6065	12	0
2823	-1;404;1158;1787;2328;2904;3856;5124;5412;6065;6171;6368;1158 6065	13	0
2824	-1;404;1158;1787;2267;2328;2904;3856;5412;6065;6171;6368;1158 6065	13	0
2825	-1;404;1158;2267;2328;2599;2904;3856;5412;6065;6171;6368;1158 6065	13	0
2826	-1;404;1158;2267;2328;2599;2904;3856;5412;6065;6171;6368;1158 6065	13	0
2827	-1;1158;2267;2328;2599;2904;3856;5412;6065;6171;6368;7153;1158 6065	13	0
2828	-1;1158;1816;2267;2328;2599;2904;5412;6065;6171;6368;7153;1158 6065	13	0
2829	-1;1158;1816;2328;2599;2904;5412;6065;6171;6368;7153;1158 6065	12	0
2830	-1;1158;1816;2328;2599;2904;5412;6065;6171;7153;1158 6065	11	0
2831	-1;1158;1816;2328;2904;5412;6065;6171;7153;1158 6065	10	0
2832	-1;1158;1816;2328;5412;6065;6171;7153;1158 6065	9	0
2833	-1;1158;1816;2328;5412;6065;6171;7153	8	0
2834	-1;1158;2328;5412;6065;6171;7153	7	0
2835	-1;1158;2328;5412;6065;6171	6	0
2836	-1;1158;2328;3708;5412;6065;6171	7	0
2837	-1;1158;2328;3708;5412;6065;6171	7	0
2838	-1;214;1158;3708;5412;6065;6171	7	0
2839	-1;214;1158;3708;5139;5412;6065;6171	8	0
2840	-1;214;1158;3708;5139;5412;6171;6759	8	0
2841	-1;214;1158;3708;4445;5139;5412;6171;6759	9	0
2842	-1;214;1158;3708;5139;5412;6171;6759	8	0
2843	-1;214;1158;1303;5139;5412;6171;6759	8	0
2844	-1;214;1158;1303;4283;5139;5412;6171;6759	9	0
2845	-1;214;231;1158;1303;5139;5412;6171;6759	9	0
2846	-1;214;231;1158;1303;2530;5139;6171;6759	9	0
2847	-1;104;214;231;1158;1303;5139;6171;6759	9	0
2848	-1;104;214;231;1158;1303;5139;5424;6171;6759	10	0
2849	-1;104;231;1158;1303;4512;5139;5424;6171;6759	10	0
2850	-1;104;231;1158;1303;2787;4512;5139;5424;6171;6759	11	0
2851	-1;231;1158;1303;2787;4512;5139;5424;5679;6171;6759	11	0
2852	-1;231;1107;1158;1303;2787;4512;5139;5424;5679;6171;6759	12	0
2853	-1;231;1107;1158;1303;2787;4512;5139;5424;5679;6171	11	0
2854	-1;231;1107;1158;1303;2787;5139;5424;5679;6171	10	0
2855	-1;1107;1158;1303;2787;5139;5424;5679;6029;6171	10	0
2856	-1;105;1107;1158;2787;5139;5424;5679;6029;6171	10	0
2857	-1;105;1107;2455;2787;5139;5424;5679;6029;6171	10	0
2858	-1;105;1107;2455;2787;3859;5139;5424;6029;6171	10	0
2859	-1;105;2455;2787;3466;3859;5139;5424;6029;6171	10	0
2860	-1;105;2455;2787;3466;3859;5139;5424;6171	9	0
2861	-1;105;2455;2787;3466;3859;5424;6171	8	0
2862	-1;105;955;2455;2787;3466;3859;5424;6171	9	0
2863	-1;955;2455;2787;3466;3859;5424;6171	8	0
2864	-1;2455;2787;3466;3859;5424;6171	7	0
2865	-1;2455;2787;2943;3466;3859;5424	7	0
2866	-1;2455;2787;3466;3859;5424;5668	7	0
2867	-1;2455;2787;3466;3859;5424	6	0
2868	-1;2455;2787;3466;3859;5424;7180	7	0
2869	-1;2455;2787;3466;3859;5424;7180	7	0
2870	-1;1803;2455;2787;3859;5424;7180	7	0
2871	-1;1803;2455;2787;3859;7180	6	0
2872	-1;1803;2300;2787;3859;7180	6	0
2873	-1;919;1803;2300;2787;7180	6	0
2874	-1;919;2300;2787;4661;7180	6	0
2875	-1;919;2787;4661;6837;7180	6	0
2876	-1;919;2787;4305;4661;7180	6	0
2877	-1;919;1376;2787;4305;4661	6	0
2878	-1;919;1376;2787;4305;7294	6	0
2879	-1;919;1376;2787;4012;4305	6	0
2880	-1;395;919;1376;2787;4012	6	0
2881	-1;395;919;1376;2787;4012	6	0
2882	-1;395;919;1376;2787;6896	6	0
2883	-1;395;919;1376;2787;6234;6896	7	0
2884	-1;919;1376;2787;6234;6768;6896	7	0
2885	-1;919;1376;2787;3317;6234;6768;6896	8	0
2886	-1;919;1376;3317;6234;6768;6896	7	0
2887	-1;582;919;1376;3317;6234;6768	7	0
2888	-1;582;919;1373;1376;6234;6768	7	0
2889	-1;582;1373;1376;5878;6234;6768	7	0
2890	-1;1373;1376;4104;5878;6234;6768	7	0
2891	-1;1373;1376;1671;4104;5878;6234;6768	8	0
2892	-1;1373;1376;1671;4104;6234;6768;7358	8	0
2893	-1;1373;1376;4104;6234;6768;7358	7	0
2894	-1;1145;1373;4104;6234;6768;7358	7	0
2895	-1;1145;1373;4104;6768;7358	6	0
2896	-1;1145;1373;6768;6769;7358	6	0
2897	-1;605;1145;1373;6768;6769;7358	7	0
2898	-1;605;1145;1373;6769;7358	6	0
2899	-1;605;1145;1373;6769	5	0
2900	-1;605;1145;1373;4665;6769	6	0
2901	-1;605;1145;1373;4665;6769;7284	7	0
2902	-1;605;1304;1373;4665;6769;7284	7	0
2903	-1;605;1304;1373;4665;5871;6769	7	0
2904	-1;605;1304;1373;4665;5871;6359;6769	8	0
2905	-1;605;1373;4665;5871;6359;6769	7	0
2906	-1;605;1373;4665;6359;6482;6769	7	0
2907	-1;605;1373;4665;5516;6359;6769	7	0
2908	-1;605;1373;4665;5516;6769;7121	7	0
2909	-1;605;4665;5516;6769;7121	6	0
2910	-1;605;3217;4665;5516;6769	6	0
2911	-1;605;3217;4665;4995;6769	6	0
2912	-1;605;3217;4665;4995;6769	6	0
2913	-1;605;3217;3550;4665;4995;6769	7	0
2914	-1;605;3217;3550;4665;4995;6769;605 4665	8	0
2915	-1;605;3217;4665;4995;6769;605 4665	7	0
2916	-1;605;3217;4665;6769;605 4665	6	0
2917	-1;605;1061;3217;4665;6769	6	0
2918	-1;605;1061;3217;4665;5895;6769	7	0
2919	-1;605;1061;3217;5895;6769;7003	7	0
2920	-1;605;1061;3217;5895;6769;7003;3217 6769	8	0
2921	-1;605;1061;3217;5895;6769;3217 6769	7	0
2922	-1;605;1061;3217;4866;6769;3217 6769	7	0
2923	-1;605;1061;3217;4866;6769;3217 6769	7	0
2924	-1;605;1061;3042;3217;4866;6769;3217 6769	8	0
2925	-1;605;1061;3042;3217;4866;5238;6769;3217 6769	9	0
2926	-1;605;1061;3217;3836;4866;5238;6769;3217 6769	9	0
2927	-1;605;1061;1462;3217;3836;4866;5238;6769	9	0
2928	-1;605;1061;1462;3217;4866;5238;6769	8	0
2929	-1;605;1061;1462;3217;4866;6769;6977	8	0
2930	-1;605;1061;1462;3217;4866;6052;6769;6977	9	0
2931	-1;605;1061;1462;3217;4866;5061;6769;6977	9	0
2932	-1;605;1061;1462;3217;5061;6451;6769;6977	9	0
2933	-1;605;1061;1462;3217;3605;5061;6451;6769;6977	10	0
2934	-1;605;1061;3217;3605;4746;5061;6451;6769;6977	10	0
2935	-1;605;1061;3217;3605;4136;4746;5061;6451;6977	10	0
2936	-1;605;1061;3217;3605;4136;4364;4746;5061;6451;6977	11	0
2937	-1;1061;3217;3605;3890;4136;4364;4746;5061;6451;6977	11	0
2938	-1;1061;3217;3605;3890;4136;4155;4364;5061;6451;6977	11	0
2939	-1;1061;3217;3605;3890;3917;4155;4364;5061;6451;6977	11	0
2940	-1;1061;3217;3605;3890;3917;4155;4364;6451;6977	10	0
2941	-1;1061;3217;3605;3890;3917;4155;4364;5501;6451	10	0
2942	-1;1061;3217;3605;3890;4155;4364;5501;6451	9	0
2943	-1;1061;3217;3605;3822;4155;4364;5501;6451	9	0
2944	-1;1061;3217;3605;3822;4155;5501;6451	8	0
2945	-1;1061;3605;3822;4155;5501;6451	7	0
2946	-1;1061;3605;3822;4155;4564;5501;6451	8	0
